api_id,module_id,package,class_name,method_name,api_type,priority,android_api_level,description_cn,harmony_mapping,mapping_difficulty,estimated_hours,adapter_project,status,notes
P3-0702,M08,android.hardware.usb,UsbConstants,USB_TYPE_VENDOR,field,P3,,,,,,13X-08,scraped,
P3-0703,M08,android.hardware.usb,UsbDevice,describeContents,method,P3,,,,,,13X-08,scraped,
P3-0704,M08,android.hardware.usb,UsbDevice,getConfiguration,method,P3,,,,,,13X-08,scraped,
P3-0705,M08,android.hardware.usb,UsbDevice,getConfigurationCount,method,P3,,,,,,13X-08,scraped,
P3-0706,M08,android.hardware.usb,UsbDevice,getDeviceClass,method,P3,,,,,,13X-08,scraped,
P3-0707,M08,android.hardware.usb,UsbDevice,getDeviceId,method,P3,,,,,,13X-08,scraped,
P3-0708,M08,android.hardware.usb,UsbDevice,getDeviceId,method,P3,,,,,,13X-08,scraped,
P3-0709,M08,android.hardware.usb,UsbDevice,getDeviceName,method,P3,,,,,,13X-08,scraped,
P3-0710,M08,android.hardware.usb,UsbDevice,getDeviceName,method,P3,,,,,,13X-08,scraped,
P3-0711,M08,android.hardware.usb,UsbDevice,getDeviceProtocol,method,P3,,,,,,13X-08,scraped,
P3-0712,M08,android.hardware.usb,UsbDevice,getDeviceSubclass,method,P3,,,,,,13X-08,scraped,
P3-0713,M08,android.hardware.usb,UsbDevice,getInterface,method,P3,,,,,,13X-08,scraped,
P3-0714,M08,android.hardware.usb,UsbDevice,getInterfaceCount,method,P3,,,,,,13X-08,scraped,
P3-0715,M08,android.hardware.usb,UsbDevice,getManufacturerName,method,P3,,,,,,13X-08,scraped,
P3-0716,M08,android.hardware.usb,UsbDevice,getProductId,method,P3,,,,,,13X-08,scraped,
P3-0717,M08,android.hardware.usb,UsbDevice,getProductName,method,P3,,,,,,13X-08,scraped,
P3-0718,M08,android.hardware.usb,UsbDevice,getSerialNumber,method,P3,,,,,,13X-08,scraped,
P3-0719,M08,android.hardware.usb,UsbDevice,getVendorId,method,P3,,,,,,13X-08,scraped,
P3-0720,M08,android.hardware.usb,UsbDevice,getVersion,method,P3,,,,,,13X-08,scraped,
P3-0721,M08,android.hardware.usb,UsbDevice,writeToParcel,method,P3,,,,,,13X-08,scraped,
P3-0722,M08,android.hardware.usb,UsbDevice,CREATOR,field,P3,,,,,,13X-08,scraped,
P3-0723,M08,android.hardware.usb,UsbDeviceConnection,bulkTransfer,method,P3,,,,,,13X-08,scraped,
P3-0724,M08,android.hardware.usb,UsbDeviceConnection,bulkTransfer,method,P3,,,,,,13X-08,scraped,
P3-0725,M08,android.hardware.usb,UsbDeviceConnection,claimInterface,method,P3,,,,,,13X-08,scraped,
P3-0726,M08,android.hardware.usb,UsbDeviceConnection,close,method,P3,,,,,,13X-08,scraped,
P3-0727,M08,android.hardware.usb,UsbDeviceConnection,controlTransfer,method,P3,,,,,,13X-08,scraped,
P3-0728,M08,android.hardware.usb,UsbDeviceConnection,controlTransfer,method,P3,,,,,,13X-08,scraped,
P3-0729,M08,android.hardware.usb,UsbDeviceConnection,getFileDescriptor,method,P3,,,,,,13X-08,scraped,
P3-0730,M08,android.hardware.usb,UsbDeviceConnection,getRawDescriptors,method,P3,,,,,,13X-08,scraped,
P3-0731,M08,android.hardware.usb,UsbDeviceConnection,getSerial,method,P3,,,,,,13X-08,scraped,
P3-0732,M08,android.hardware.usb,UsbDeviceConnection,releaseInterface,method,P3,,,,,,13X-08,scraped,
P3-0733,M08,android.hardware.usb,UsbDeviceConnection,requestWait,method,P3,,,,,,13X-08,scraped,
P3-0734,M08,android.hardware.usb,UsbDeviceConnection,setConfiguration,method,P3,,,,,,13X-08,scraped,
P3-0735,M08,android.hardware.usb,UsbDeviceConnection,setInterface,method,P3,,,,,,13X-08,scraped,
P3-0736,M08,android.hardware.usb,UsbEndpoint,describeContents,method,P3,,,,,,13X-08,scraped,
P3-0737,M08,android.hardware.usb,UsbEndpoint,getAddress,method,P3,,,,,,13X-08,scraped,
P3-0738,M08,android.hardware.usb,UsbEndpoint,getAttributes,method,P3,,,,,,13X-08,scraped,
P3-0739,M08,android.hardware.usb,UsbEndpoint,getDirection,method,P3,,,,,,13X-08,scraped,
P3-0740,M08,android.hardware.usb,UsbEndpoint,getEndpointNumber,method,P3,,,,,,13X-08,scraped,
P3-0741,M08,android.hardware.usb,UsbEndpoint,getInterval,method,P3,,,,,,13X-08,scraped,
P3-0742,M08,android.hardware.usb,UsbEndpoint,getMaxPacketSize,method,P3,,,,,,13X-08,scraped,
P3-0743,M08,android.hardware.usb,UsbEndpoint,getType,method,P3,,,,,,13X-08,scraped,
P3-0744,M08,android.hardware.usb,UsbEndpoint,writeToParcel,method,P3,,,,,,13X-08,scraped,
P3-0745,M08,android.hardware.usb,UsbEndpoint,CREATOR,field,P3,,,,,,13X-08,scraped,
P3-0746,M08,android.hardware.usb,UsbInterface,describeContents,method,P3,,,,,,13X-08,scraped,
P3-0747,M08,android.hardware.usb,UsbInterface,getAlternateSetting,method,P3,,,,,,13X-08,scraped,
P3-0748,M08,android.hardware.usb,UsbInterface,getEndpoint,method,P3,,,,,,13X-08,scraped,
P3-0749,M08,android.hardware.usb,UsbInterface,getEndpointCount,method,P3,,,,,,13X-08,scraped,
P3-0750,M08,android.hardware.usb,UsbInterface,getId,method,P3,,,,,,13X-08,scraped,
P3-0751,M08,android.hardware.usb,UsbInterface,getInterfaceClass,method,P3,,,,,,13X-08,scraped,
P3-0752,M08,android.hardware.usb,UsbInterface,getInterfaceProtocol,method,P3,,,,,,13X-08,scraped,
P3-0753,M08,android.hardware.usb,UsbInterface,getInterfaceSubclass,method,P3,,,,,,13X-08,scraped,
P3-0754,M08,android.hardware.usb,UsbInterface,getName,method,P3,,,,,,13X-08,scraped,
P3-0755,M08,android.hardware.usb,UsbInterface,writeToParcel,method,P3,,,,,,13X-08,scraped,
P3-0756,M08,android.hardware.usb,UsbInterface,CREATOR,field,P3,,,,,,13X-08,scraped,
P3-0757,M08,android.hardware.usb,UsbManager,getAccessoryList,method,P3,,,,,,13X-08,scraped,
P3-0758,M08,android.hardware.usb,UsbManager,getDeviceList,method,P3,,,,,,13X-08,scraped,
P3-0759,M08,android.hardware.usb,UsbManager,hasPermission,method,P3,,,,,,13X-08,scraped,
P3-0760,M08,android.hardware.usb,UsbManager,hasPermission,method,P3,,,,,,13X-08,scraped,
P3-0761,M08,android.hardware.usb,UsbManager,openAccessory,method,P3,,,,,,13X-08,scraped,
P3-0762,M08,android.hardware.usb,UsbManager,openDevice,method,P3,,,,,,13X-08,scraped,
P3-0763,M08,android.hardware.usb,UsbManager,requestPermission,method,P3,,,,,,13X-08,scraped,
P3-0764,M08,android.hardware.usb,UsbManager,requestPermission,method,P3,,,,,,13X-08,scraped,
P3-0765,M08,android.hardware.usb,UsbManager,ACTION_USB_ACCESSORY_ATTACHED,field,P3,,,,,,13X-08,scraped,
P3-0766,M08,android.hardware.usb,UsbManager,ACTION_USB_ACCESSORY_DETACHED,field,P3,,,,,,13X-08,scraped,
P3-0767,M08,android.hardware.usb,UsbManager,ACTION_USB_DEVICE_ATTACHED,field,P3,,,,,,13X-08,scraped,
P3-0768,M08,android.hardware.usb,UsbManager,ACTION_USB_DEVICE_DETACHED,field,P3,,,,,,13X-08,scraped,
P3-0769,M08,android.hardware.usb,UsbManager,EXTRA_ACCESSORY,field,P3,,,,,,13X-08,scraped,
P3-0770,M08,android.hardware.usb,UsbManager,EXTRA_DEVICE,field,P3,,,,,,13X-08,scraped,
P3-0771,M08,android.hardware.usb,UsbManager,EXTRA_PERMISSION_GRANTED,field,P3,,,,,,13X-08,scraped,
P3-0772,M08,android.hardware.usb,UsbRequest,<init>,ctor,P3,,,,,,13X-08,scraped,
P3-0773,M08,android.hardware.usb,UsbRequest,cancel,method,P3,,,,,,13X-08,scraped,
P3-0774,M08,android.hardware.usb,UsbRequest,close,method,P3,,,,,,13X-08,scraped,
P3-0775,M08,android.hardware.usb,UsbRequest,getClientData,method,P3,,,,,,13X-08,scraped,
P3-0776,M08,android.hardware.usb,UsbRequest,getEndpoint,method,P3,,,,,,13X-08,scraped,
P3-0777,M08,android.hardware.usb,UsbRequest,initialize,method,P3,,,,,,13X-08,scraped,
P3-0778,M08,android.hardware.usb,UsbRequest,queue,method,P3,,,,,,13X-08,scraped,
P3-0779,M08,android.hardware.usb,UsbRequest,queue,method,P3,,,,,,13X-08,scraped,
P3-0780,M08,android.hardware.usb,UsbRequest,setClientData,method,P3,,,,,,13X-08,scraped,
P4-0169,M99,android.inputmethodservice,AbstractInputMethodService,<init>,ctor,P4,,,,,,TBD,scraped,
P4-0170,M99,android.inputmethodservice,AbstractInputMethodService,getKeyDispatcherState,method,P4,,,,,,TBD,scraped,
P4-0171,M99,android.inputmethodservice,AbstractInputMethodService,onBind,method,P4,,,,,,TBD,scraped,
P4-0172,M99,android.inputmethodservice,AbstractInputMethodService,onCreateInputMethodInterface,method,P4,,,,,,TBD,scraped,
P4-0173,M99,android.inputmethodservice,AbstractInputMethodService,onCreateInputMethodSessionInterface,method,P4,,,,,,TBD,scraped,
P4-0174,M99,android.inputmethodservice,AbstractInputMethodService,onGenericMotionEvent,method,P4,,,,,,TBD,scraped,
P4-0175,M99,android.inputmethodservice,AbstractInputMethodService,onTrackballEvent,method,P4,,,,,,TBD,scraped,
P3-0781,M08,android.location,Address,<init>,ctor,P3,,,,,,13X-08,scraped,
P3-0782,M08,android.location,Address,clearLatitude,method,P3,,,,,,13X-08,scraped,
P3-0783,M08,android.location,Address,clearLongitude,method,P3,,,,,,13X-08,scraped,
P3-0784,M08,android.location,Address,describeContents,method,P3,,,,,,13X-08,scraped,
P3-0785,M08,android.location,Address,getAddressLine,method,P3,,,,,,13X-08,scraped,
P3-0786,M08,android.location,Address,getAdminArea,method,P3,,,,,,13X-08,scraped,
P3-0787,M08,android.location,Address,getCountryCode,method,P3,,,,,,13X-08,scraped,
P3-0788,M08,android.location,Address,getCountryName,method,P3,,,,,,13X-08,scraped,
P3-0789,M08,android.location,Address,getExtras,method,P3,,,,,,13X-08,scraped,
P3-0790,M08,android.location,Address,getFeatureName,method,P3,,,,,,13X-08,scraped,
P3-0791,M08,android.location,Address,getLatitude,method,P3,,,,,,13X-08,scraped,
P3-0792,M08,android.location,Address,getLocale,method,P3,,,,,,13X-08,scraped,
P3-0793,M08,android.location,Address,getLocality,method,P3,,,,,,13X-08,scraped,
P3-0794,M08,android.location,Address,getLongitude,method,P3,,,,,,13X-08,scraped,
P3-0795,M08,android.location,Address,getMaxAddressLineIndex,method,P3,,,,,,13X-08,scraped,
P3-0796,M08,android.location,Address,getPhone,method,P3,,,,,,13X-08,scraped,
P3-0797,M08,android.location,Address,getPostalCode,method,P3,,,,,,13X-08,scraped,
P3-0798,M08,android.location,Address,getPremises,method,P3,,,,,,13X-08,scraped,
P3-0799,M08,android.location,Address,getSubAdminArea,method,P3,,,,,,13X-08,scraped,
P3-0800,M08,android.location,Address,getSubLocality,method,P3,,,,,,13X-08,scraped,
P3-0801,M08,android.location,Address,getSubThoroughfare,method,P3,,,,,,13X-08,scraped,
P3-0802,M08,android.location,Address,getThoroughfare,method,P3,,,,,,13X-08,scraped,
P3-0803,M08,android.location,Address,getUrl,method,P3,,,,,,13X-08,scraped,
P3-0804,M08,android.location,Address,hasLatitude,method,P3,,,,,,13X-08,scraped,
P3-0805,M08,android.location,Address,hasLongitude,method,P3,,,,,,13X-08,scraped,
P3-0806,M08,android.location,Address,setAddressLine,method,P3,,,,,,13X-08,scraped,
P3-0807,M08,android.location,Address,setAdminArea,method,P3,,,,,,13X-08,scraped,
P3-0808,M08,android.location,Address,setCountryCode,method,P3,,,,,,13X-08,scraped,
P3-0809,M08,android.location,Address,setCountryName,method,P3,,,,,,13X-08,scraped,
P3-0810,M08,android.location,Address,setExtras,method,P3,,,,,,13X-08,scraped,
P3-0811,M08,android.location,Address,setFeatureName,method,P3,,,,,,13X-08,scraped,
P3-0812,M08,android.location,Address,setLatitude,method,P3,,,,,,13X-08,scraped,
P3-0813,M08,android.location,Address,setLocality,method,P3,,,,,,13X-08,scraped,
P3-0814,M08,android.location,Address,setLongitude,method,P3,,,,,,13X-08,scraped,
P3-0815,M08,android.location,Address,setPhone,method,P3,,,,,,13X-08,scraped,
P3-0816,M08,android.location,Address,setPostalCode,method,P3,,,,,,13X-08,scraped,
P3-0817,M08,android.location,Address,setPremises,method,P3,,,,,,13X-08,scraped,
P3-0818,M08,android.location,Address,setSubAdminArea,method,P3,,,,,,13X-08,scraped,
P3-0819,M08,android.location,Address,setSubLocality,method,P3,,,,,,13X-08,scraped,
P3-0820,M08,android.location,Address,setSubThoroughfare,method,P3,,,,,,13X-08,scraped,
P3-0821,M08,android.location,Address,setThoroughfare,method,P3,,,,,,13X-08,scraped,
P3-0822,M08,android.location,Address,setUrl,method,P3,,,,,,13X-08,scraped,
P3-0823,M08,android.location,Address,writeToParcel,method,P3,,,,,,13X-08,scraped,
P3-0824,M08,android.location,Address,CREATOR,field,P3,,,,,,13X-08,scraped,
P3-0825,M08,android.location.altitude,AltitudeConverter,<init>,ctor,P3,,,,,,13X-08,scraped,
P3-0826,M08,android.location.provider,ProviderProperties,describeContents,method,P3,,,,,,13X-08,scraped,
P3-0827,M08,android.location.provider,ProviderProperties,getAccuracy,method,P3,,,,,,13X-08,scraped,
P3-0828,M08,android.location.provider,ProviderProperties,getPowerUsage,method,P3,,,,,,13X-08,scraped,
P3-0829,M08,android.location.provider,ProviderProperties,hasAltitudeSupport,method,P3,,,,,,13X-08,scraped,
P3-0830,M08,android.location.provider,ProviderProperties,hasBearingSupport,method,P3,,,,,,13X-08,scraped,
P3-0831,M08,android.location.provider,ProviderProperties,hasCellRequirement,method,P3,,,,,,13X-08,scraped,
P3-0832,M08,android.location.provider,ProviderProperties,hasMonetaryCost,method,P3,,,,,,13X-08,scraped,
P3-0833,M08,android.location.provider,ProviderProperties,hasNetworkRequirement,method,P3,,,,,,13X-08,scraped,
P3-0834,M08,android.location.provider,ProviderProperties,hasSatelliteRequirement,method,P3,,,,,,13X-08,scraped,
P3-0835,M08,android.location.provider,ProviderProperties,hasSpeedSupport,method,P3,,,,,,13X-08,scraped,
P3-0836,M08,android.location.provider,ProviderProperties,writeToParcel,method,P3,,,,,,13X-08,scraped,
P3-0837,M08,android.location.provider,ProviderProperties,ACCURACY_COARSE,field,P3,,,,,,13X-08,scraped,
P3-0838,M08,android.location.provider,ProviderProperties,ACCURACY_FINE,field,P3,,,,,,13X-08,scraped,
P3-0839,M08,android.location.provider,ProviderProperties,CREATOR,field,P3,,,,,,13X-08,scraped,
P3-0840,M08,android.location.provider,ProviderProperties,POWER_USAGE_HIGH,field,P3,,,,,,13X-08,scraped,
P3-0841,M08,android.location.provider,ProviderProperties,POWER_USAGE_LOW,field,P3,,,,,,13X-08,scraped,
P3-0842,M08,android.location.provider,ProviderProperties,POWER_USAGE_MEDIUM,field,P3,,,,,,13X-08,scraped,
P2-0227,M06,android.media,AsyncPlayer,<init>,ctor,P2,,,,,,13X-06,scraped,
P2-0228,M06,android.media,AsyncPlayer,play,method,P2,,,,,,13X-06,scraped,
P2-0229,M06,android.media,AsyncPlayer,stop,method,P2,,,,,,13X-06,scraped,
P2-0230,M06,android.media,AudioAttributes,areHapticChannelsMuted,method,P2,,,,,,13X-06,scraped,
P2-0231,M06,android.media,AudioAttributes,describeContents,method,P2,,,,,,13X-06,scraped,
P2-0232,M06,android.media,AudioAttributes,getAllowedCapturePolicy,method,P2,,,,,,13X-06,scraped,
P2-0233,M06,android.media,AudioAttributes,getContentType,method,P2,,,,,,13X-06,scraped,
P2-0234,M06,android.media,AudioAttributes,getFlags,method,P2,,,,,,13X-06,scraped,
P2-0235,M06,android.media,AudioAttributes,getSpatializationBehavior,method,P2,,,,,,13X-06,scraped,
P2-0236,M06,android.media,AudioAttributes,getUsage,method,P2,,,,,,13X-06,scraped,
P2-0237,M06,android.media,AudioAttributes,getVolumeControlStream,method,P2,,,,,,13X-06,scraped,
P2-0238,M06,android.media,AudioAttributes,isContentSpatialized,method,P2,,,,,,13X-06,scraped,
P2-0239,M06,android.media,AudioAttributes,writeToParcel,method,P2,,,,,,13X-06,scraped,
P2-0240,M06,android.media,AudioAttributes,ALLOW_CAPTURE_BY_ALL,field,P2,,,,,,13X-06,scraped,
P2-0241,M06,android.media,AudioAttributes,ALLOW_CAPTURE_BY_NONE,field,P2,,,,,,13X-06,scraped,
P2-0242,M06,android.media,AudioAttributes,ALLOW_CAPTURE_BY_SYSTEM,field,P2,,,,,,13X-06,scraped,
P2-0243,M06,android.media,AudioAttributes,CONTENT_TYPE_MOVIE,field,P2,,,,,,13X-06,scraped,
P2-0244,M06,android.media,AudioAttributes,CONTENT_TYPE_MUSIC,field,P2,,,,,,13X-06,scraped,
P2-0245,M06,android.media,AudioAttributes,CONTENT_TYPE_SONIFICATION,field,P2,,,,,,13X-06,scraped,
P2-0246,M06,android.media,AudioAttributes,CONTENT_TYPE_SPEECH,field,P2,,,,,,13X-06,scraped,
P2-0247,M06,android.media,AudioAttributes,CONTENT_TYPE_UNKNOWN,field,P2,,,,,,13X-06,scraped,
P2-0248,M06,android.media,AudioAttributes,CREATOR,field,P2,,,,,,13X-06,scraped,
P2-0249,M06,android.media,AudioAttributes,FLAG_AUDIBILITY_ENFORCED,field,P2,,,,,,13X-06,scraped,
P2-0250,M06,android.media,AudioAttributes,FLAG_HW_AV_SYNC,field,P2,,,,,,13X-06,scraped,
P2-0251,M06,android.media,AudioAttributes,FLAG_LOW_LATENCY,field,P2,,,,,,13X-06,scraped,
P2-0252,M06,android.media,AudioAttributes,SPATIALIZATION_BEHAVIOR_AUTO,field,P2,,,,,,13X-06,scraped,
P2-0253,M06,android.media,AudioAttributes,SPATIALIZATION_BEHAVIOR_NEVER,field,P2,,,,,,13X-06,scraped,
P2-0254,M06,android.media,AudioAttributes,USAGE_ALARM,field,P2,,,,,,13X-06,scraped,
P2-0255,M06,android.media,AudioAttributes,USAGE_ASSISTANCE_ACCESSIBILITY,field,P2,,,,,,13X-06,scraped,
P2-0256,M06,android.media,AudioAttributes,USAGE_ASSISTANCE_NAVIGATION_GUIDANCE,field,P2,,,,,,13X-06,scraped,
P2-0257,M06,android.media,AudioAttributes,USAGE_ASSISTANCE_SONIFICATION,field,P2,,,,,,13X-06,scraped,
P2-0258,M06,android.media,AudioAttributes,USAGE_ASSISTANT,field,P2,,,,,,13X-06,scraped,
P2-0259,M06,android.media,AudioAttributes,USAGE_GAME,field,P2,,,,,,13X-06,scraped,
P2-0260,M06,android.media,AudioAttributes,USAGE_MEDIA,field,P2,,,,,,13X-06,scraped,
P2-0261,M06,android.media,AudioAttributes,USAGE_NOTIFICATION,field,P2,,,,,,13X-06,scraped,
P2-0262,M06,android.media,AudioAttributes,USAGE_NOTIFICATION_COMMUNICATION_DELAYED,field,P2,,,,,,13X-06,scraped,
P2-0263,M06,android.media,AudioAttributes,USAGE_NOTIFICATION_COMMUNICATION_INSTANT,field,P2,,,,,,13X-06,scraped,
P2-0264,M06,android.media,AudioAttributes,USAGE_NOTIFICATION_COMMUNICATION_REQUEST,field,P2,,,,,,13X-06,scraped,
P2-0265,M06,android.media,AudioAttributes,USAGE_NOTIFICATION_EVENT,field,P2,,,,,,13X-06,scraped,
P2-0266,M06,android.media,AudioAttributes,USAGE_NOTIFICATION_RINGTONE,field,P2,,,,,,13X-06,scraped,
P2-0267,M06,android.media,AudioAttributes,USAGE_UNKNOWN,field,P2,,,,,,13X-06,scraped,
P2-0268,M06,android.media,AudioAttributes,USAGE_VOICE_COMMUNICATION,field,P2,,,,,,13X-06,scraped,
P2-0269,M06,android.media,AudioAttributes,USAGE_VOICE_COMMUNICATION_SIGNALLING,field,P2,,,,,,13X-06,scraped,
P2-0270,M06,android.media.audiofx,AcousticEchoCanceler,create,method,P2,,,,,,13X-06,scraped,
P2-0271,M06,android.media.audiofx,AcousticEchoCanceler,isAvailable,method,P2,,,,,,13X-06,scraped,
P2-0272,M06,android.media.audiofx,AudioEffect,finalize,method,P2,,,,,,13X-06,scraped,
P2-0273,M06,android.media.audiofx,AudioEffect,queryEffects,method,P2,,,,,,13X-06,scraped,
P2-0274,M06,android.media.audiofx,AudioEffect,release,method,P2,,,,,,13X-06,scraped,
P2-0275,M06,android.media.audiofx,AudioEffect,setControlStatusListener,method,P2,,,,,,13X-06,scraped,
P2-0276,M06,android.media.audiofx,AudioEffect,setEnableStatusListener,method,P2,,,,,,13X-06,scraped,
P2-0277,M06,android.media.audiofx,AudioEffect,ACTION_CLOSE_AUDIO_EFFECT_CONTROL_SESSION,field,P2,,,,,,13X-06,scraped,
P2-0278,M06,android.media.audiofx,AudioEffect,ACTION_DISPLAY_AUDIO_EFFECT_CONTROL_PANEL,field,P2,,,,,,13X-06,scraped,
P2-0279,M06,android.media.audiofx,AudioEffect,ACTION_OPEN_AUDIO_EFFECT_CONTROL_SESSION,field,P2,,,,,,13X-06,scraped,
P2-0280,M06,android.media.audiofx,AudioEffect,ALREADY_EXISTS,field,P2,,,,,,13X-06,scraped,
P2-0281,M06,android.media.audiofx,AudioEffect,CONTENT_TYPE_GAME,field,P2,,,,,,13X-06,scraped,
P2-0282,M06,android.media.audiofx,AudioEffect,CONTENT_TYPE_MOVIE,field,P2,,,,,,13X-06,scraped,
P2-0283,M06,android.media.audiofx,AudioEffect,CONTENT_TYPE_MUSIC,field,P2,,,,,,13X-06,scraped,
P2-0284,M06,android.media.audiofx,AudioEffect,CONTENT_TYPE_VOICE,field,P2,,,,,,13X-06,scraped,
P2-0285,M06,android.media.audiofx,AudioEffect,EFFECT_AUXILIARY,field,P2,,,,,,13X-06,scraped,
P2-0286,M06,android.media.audiofx,AudioEffect,EFFECT_INSERT,field,P2,,,,,,13X-06,scraped,
P2-0287,M06,android.media.audiofx,AudioEffect,EFFECT_POST_PROCESSING,field,P2,,,,,,13X-06,scraped,
P2-0288,M06,android.media.audiofx,AudioEffect,EFFECT_PRE_PROCESSING,field,P2,,,,,,13X-06,scraped,
P2-0289,M06,android.media.audiofx,AudioEffect,EFFECT_TYPE_AEC,field,P2,,,,,,13X-06,scraped,
P2-0290,M06,android.media.audiofx,AudioEffect,EFFECT_TYPE_AGC,field,P2,,,,,,13X-06,scraped,
P2-0291,M06,android.media.audiofx,AudioEffect,EFFECT_TYPE_BASS_BOOST,field,P2,,,,,,13X-06,scraped,
P2-0292,M06,android.media.audiofx,AudioEffect,EFFECT_TYPE_DYNAMICS_PROCESSING,field,P2,,,,,,13X-06,scraped,
P2-0293,M06,android.media.audiofx,AudioEffect,EFFECT_TYPE_ENV_REVERB,field,P2,,,,,,13X-06,scraped,
P2-0294,M06,android.media.audiofx,AudioEffect,EFFECT_TYPE_EQUALIZER,field,P2,,,,,,13X-06,scraped,
P2-0295,M06,android.media.audiofx,AudioEffect,EFFECT_TYPE_HAPTIC_GENERATOR,field,P2,,,,,,13X-06,scraped,
P2-0296,M06,android.media.audiofx,AudioEffect,EFFECT_TYPE_LOUDNESS_ENHANCER,field,P2,,,,,,13X-06,scraped,
P2-0297,M06,android.media.audiofx,AudioEffect,EFFECT_TYPE_NS,field,P2,,,,,,13X-06,scraped,
P2-0298,M06,android.media.audiofx,AudioEffect,EFFECT_TYPE_PRESET_REVERB,field,P2,,,,,,13X-06,scraped,
P2-0299,M06,android.media.audiofx,AudioEffect,EFFECT_TYPE_VIRTUALIZER,field,P2,,,,,,13X-06,scraped,
P2-0300,M06,android.media.audiofx,AudioEffect,ERROR,field,P2,,,,,,13X-06,scraped,
P2-0301,M06,android.media.audiofx,AudioEffect,ERROR_BAD_VALUE,field,P2,,,,,,13X-06,scraped,
P2-0302,M06,android.media.audiofx,AudioEffect,ERROR_DEAD_OBJECT,field,P2,,,,,,13X-06,scraped,
P2-0303,M06,android.media.audiofx,AudioEffect,ERROR_INVALID_OPERATION,field,P2,,,,,,13X-06,scraped,
P2-0304,M06,android.media.audiofx,AudioEffect,ERROR_NO_INIT,field,P2,,,,,,13X-06,scraped,
P2-0305,M06,android.media.audiofx,AudioEffect,ERROR_NO_MEMORY,field,P2,,,,,,13X-06,scraped,
P2-0306,M06,android.media.audiofx,AudioEffect,EXTRA_AUDIO_SESSION,field,P2,,,,,,13X-06,scraped,
P2-0307,M06,android.media.audiofx,AudioEffect,EXTRA_CONTENT_TYPE,field,P2,,,,,,13X-06,scraped,
P2-0308,M06,android.media.audiofx,AudioEffect,EXTRA_PACKAGE_NAME,field,P2,,,,,,13X-06,scraped,
P2-0309,M06,android.media.audiofx,AudioEffect,SUCCESS,field,P2,,,,,,13X-06,scraped,
P2-0310,M06,android.media.browse,MediaBrowser,<init>,ctor,P2,,,,,,13X-06,scraped,
P2-0311,M06,android.media.browse,MediaBrowser,connect,method,P2,,,,,,13X-06,scraped,
P2-0312,M06,android.media.browse,MediaBrowser,disconnect,method,P2,,,,,,13X-06,scraped,
P2-0313,M06,android.media.browse,MediaBrowser,getExtras,method,P2,,,,,,13X-06,scraped,
P2-0314,M06,android.media.browse,MediaBrowser,getItem,method,P2,,,,,,13X-06,scraped,
P2-0315,M06,android.media.browse,MediaBrowser,getRoot,method,P2,,,,,,13X-06,scraped,
P2-0316,M06,android.media.browse,MediaBrowser,getServiceComponent,method,P2,,,,,,13X-06,scraped,
P2-0317,M06,android.media.browse,MediaBrowser,getSessionToken,method,P2,,,,,,13X-06,scraped,
P2-0318,M06,android.media.browse,MediaBrowser,isConnected,method,P2,,,,,,13X-06,scraped,
P2-0319,M06,android.media.browse,MediaBrowser,subscribe,method,P2,,,,,,13X-06,scraped,
P2-0320,M06,android.media.browse,MediaBrowser,subscribe,method,P2,,,,,,13X-06,scraped,
P2-0321,M06,android.media.browse,MediaBrowser,unsubscribe,method,P2,,,,,,13X-06,scraped,
P2-0322,M06,android.media.browse,MediaBrowser,unsubscribe,method,P2,,,,,,13X-06,scraped,
P2-0323,M06,android.media.browse,MediaBrowser,EXTRA_PAGE,field,P2,,,,,,13X-06,scraped,
P2-0324,M06,android.media.browse,MediaBrowser,EXTRA_PAGE_SIZE,field,P2,,,,,,13X-06,scraped,
P2-0325,M06,android.media.effect,Effect,<init>,ctor,P2,,,,,,13X-06,scraped,
P2-0326,M06,android.media.effect,Effect,apply,method,P2,,,,,,13X-06,scraped,
P2-0327,M06,android.media.effect,Effect,getName,method,P2,,,,,,13X-06,scraped,
P2-0328,M06,android.media.effect,Effect,release,method,P2,,,,,,13X-06,scraped,
P2-0329,M06,android.media.effect,Effect,setParameter,method,P2,,,,,,13X-06,scraped,
P2-0330,M06,android.media.effect,Effect,setUpdateListener,method,P2,,,,,,13X-06,scraped,
P2-0331,M06,android.media.effect,EffectContext,createWithCurrentGlContext,method,P2,,,,,,13X-06,scraped,
P2-0332,M06,android.media.effect,EffectContext,getFactory,method,P2,,,,,,13X-06,scraped,
P2-0333,M06,android.media.effect,EffectContext,release,method,P2,,,,,,13X-06,scraped,
P2-0334,M06,android.media.effect,EffectFactory,createEffect,method,P2,,,,,,13X-06,scraped,
P2-0335,M06,android.media.effect,EffectFactory,isEffectSupported,method,P2,,,,,,13X-06,scraped,
P2-0336,M06,android.media.effect,EffectFactory,EFFECT_AUTOFIX,field,P2,,,,,,13X-06,scraped,
P2-0337,M06,android.media.effect,EffectFactory,EFFECT_BACKDROPPER,field,P2,,,,,,13X-06,scraped,
P2-0338,M06,android.media.effect,EffectFactory,EFFECT_BITMAPOVERLAY,field,P2,,,,,,13X-06,scraped,
P2-0339,M06,android.media.effect,EffectFactory,EFFECT_BLACKWHITE,field,P2,,,,,,13X-06,scraped,
P2-0340,M06,android.media.effect,EffectFactory,EFFECT_BRIGHTNESS,field,P2,,,,,,13X-06,scraped,
